,ID,COUNTRY,HOSPITAL ID,HOSPITAL NAME,ADDRESS,NEIGHBORHOOD,CITY,STATE,ZIP,AREA,TELEPHONE,EXTENTION,EMAIL,AFFILIATION,NATURE OF ESTABLISHMENT,WEBSITE,TYPE OF ESTABLISHMENT,LEVEL OF CARE,VENTILATORS,BEDS TO VENTILATORS RATIO,LINEAR REGRESSION MODELING,google_search,lat_long,lat,long,
14,16242,Mexico,MNSMP001771,HOSPITAL DE ESPECIALIDADES SAN FRANCISCO,PASEO DE LA SIMA 1003,LOMAS DEL VALLE NORTE,URUAPAN,MICHOACAN DE OCAMPO,60110,452,{5240205},,HOSNF@INTERMATSA.COM.MX,Private,Private,HTTPS://WWW.HOSPITALSANFRANCISCO.COM.MX,Clinic,1 - Primary Care,,-1,-1,HOSPITAL DE ESPECIALIDADES SAN FRANCISCO URUAPAN MICHOACAN DE OCAMPO MEXICO,"(19.4278965, -102.0441465)",19.4278965,-102.0441465,
15,16547,Mexico,DFSMP002890,CLINICA Y MATERNIDAD DEL CARMEN,AVENIDA MEXICO 71,CUAJIMALPA,CUAJIMALPA DE MORELOS,ESTADO DE MEXICO,5000,55,{58129024},,MTZALONSO@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA Y MATERNIDAD DEL CARMEN CUAJIMALPA DE MORELOS ESTADO DE MEXICO MEXICO,"(19.35678, -99.30036849999999)",19.35678,-99.3003685,
16,15925,Mexico,SRSMP000244,CLINICA GESAR,5 DE MAYO 223,5 DE MAYO,NOGALES,SONORA,84046,631,{3134343},,,Private,Private,,,,,-1,-1,CLINICA GESAR NOGALES SONORA MEXICO,"(31.3042113, -110.9344628)",31.3042113,-110.9344628,
17,26006,Mexico,MNSMP002412,HOSPITAL ANGELES MORELIA,AVENIDA MONTAÑA MONARCA NORTE 331,DESARROLLO MONTAÑA MONARCA,MORELIA,MICHOACAN DE OCAMPO,58350,443,{1477150},,MGARDUNO@SALUDANGELES.COM,Private,Private,HTTPS://HOSPITALESANGELES.COM/MORELIA/,Hospital - General,,,-1,-1,HOSPITAL ANGELES MORELIA MORELIA  MICHOACAN DE OCAMPO MEXICO,"(19.6674299, -101.166051)",19.6674299,-101.166051,
18,16499,Mexico,DFSMP001946,MATERNIDAD DANELIA,CLAVELINA  21,LOS ANGELES,IZTAPALAPA,ESTADO DE MEXICO,9830,55,{56121783},,,Private,Private,HTTPS://PUBLIIMPRE.WIXSITE.COM/CMDANELIA,,,,-1,-1,MATERNIDAD DANELIA IZTAPALAPA ESTADO DE MEXICO MEXICO,"(19.4158203, -99.0571197)",19.4158203,-99.0571197,
19,16240,Mexico,MNSMP001882,OPERADORA DE HOSPITAL MEDICO S.A.,HERIBERTO JARA 50,CENTRO,LA PIEDAD,MICHOACAN DE OCAMPO,59300,352,{5224393},,,Private,Private,,,,,-1,-1,OPERADORA DE HOSPITAL MEDICO S.A. LA PIEDAD MICHOACAN DE OCAMPO MEXICO,"(20.3460104, -102.0304075)",20.3460104,-102.0304075,
20,16460,Mexico,QTSMP000845,HOSPITAL INFANTIL TELETON DE ONCOLOGIA,ANILLO VIAL II FRAY JUNIPERO SERRA 1999,RANCHO MENCHACA,QUERETARO,QUERETARO,76140,55,{55238004},,BOLIVAR@TELETON.ORG.MX,Private,Private,HTTP://WWW.TELETON.ORG/HOME/INFORMACION-CRIT/INFORMACION-HITO,,,,-1,-1,HOSPITAL INFANTIL TELETON DE ONCOLOGIA QUERETARO QUERETARO MEXICO,"(20.6231374, -100.3847354)",20.6231374,-100.3847354,
21,16187,Mexico,MSSMP000380,SANTA CRUZ,CARRETERA CUERNAVACA-CUAUTLA 22,GUERRERO,YAUTEPEC,MORELOS,62738,735,{3562752},,DRVILLALOBOS52@HOTMAIL.COM,Private,Private,,,,,-1,-1,SANTA CRUZ YAUTEPEC MORELOS MEXICO,"(18.8898374, -99.05986109999999)",18.8898374,-99.0598611,
22,16468,Mexico,DFSMP003095,HOSPIMEDICA CAROLINA,GUILLERMO PRIETO 120,SAN RAFAEL,CUAUHTEMOC,ESTADO DE MEXICO,6470,55,{55468435},,CTACAROL@PRODIGY.NET.MX,Private,Private,,,,,-1,-1,HOSPIMEDICA CAROLINA  CUAUHTEMOC ESTADO DE MEXICO MEXICO,"(19.4384246, -99.16723929999999)",19.4384246,-99.1672393,
23,16305,Mexico,GTSMP000984,SANATORIO DOCTOR CHAVEZ S.A. DE C.V.,20 DE ENERO 417,OBREGON,LEON,GUANAJUATO,37000,477,{7144122},,,Private,Private,,,,,-1,-1,SANATORIO DOCTOR CHAVEZ S.A. DE C.V. LEON GUANAJUATO MEXICO,"(21.127675, -101.6820108)",21.127675,-101.6820108,
24,15912,Mexico,SLIMO000704,CAMPAMENTO HOSPITAL (VEINTE DE NOVIEMBRE),CAMPAMENTO HOSPITAL SN,,,SINALOA,63779,323,{2353009},,,IMSS-Oportunidades,Public,None,Hospital - General,,,-1,-1,,"(37.2256055, -95.7162018)",37.2256055,-95.7162018,
25,16209,Mexico,JCSMP000890,CLINICA HOSPITAL SANTA ROSALIA,HIDALGO 771,DOCTORES,ZAPOTLAN EL GRANDE,JALISCO,49010,341,{4122500},,HSTAROSALIA@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA HOSPITAL SANTA ROSALIA ZAPOTLAN EL GRANDE JALISCO MEXICO,"(19.7200752, -103.463755)",19.7200752,-103.463755,
26,16031,Mexico,DFSMP003660,CENTRO HOSPITALARIO DE ESPECIALIDADES MEDICAS DE ORIENTE,VICTORIA 4,BARRIO SAN LUCAS,IZTAPALAPA,CDMX,,55,{24580079},,FERNANDO.JIMENEZ@MEDICASDEORIENTE.COM,Private,Private,,,,,-1,-1,CENTRO HOSPITALARIO DE ESPECIALIDADES MEDICAS DE ORIENTE IZTAPALAPA CDMX MEXICO,"(19.3456693, -99.1451549)",19.3456693,-99.1451549,
27,16018,Mexico,BCSMP000414,CLINICA QUIRURGICA Y MATERNIDAD JARE,BOULEVARD SANCHEZ T. 14718,SANCHEZ T.,TIJUANA,BAJA CALIFORNIA,22680,661,{9038131},,LAURIZ_HEREDIA@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA QUIRURGICA Y MATERNIDAD JARE TIJUANA BAJA CALIFORNIA MEXICO,"(32.5149469, -117.0382471)",32.5149469,-117.0382471,
28,16576,Mexico,NLSMP000665,CLINICA FATIMA,SAN ANGEL 5401,SAN ANGEL,MONTERREY,NUEVO LEON,64870,81,{83659666},,,Private,Private,,,,,-1,-1,CLINICA FATIMA MONTERREY NUEVO LEON MEXICO,"(25.6217244, -100.2679483)",25.6217244,-100.2679483,
29,16467,Mexico,DFSMP000580,SANATORIO SAN MARTIN DE PORRES,LAGO BOLSENA 129,ANAHUAC,MIGUEL HIDALGO,ESTADO DE MEXICO,11320,55,{55451698},,,Private,Private,,,,,-1,-1,SANATORIO SAN MARTIN DE PORRES MIGUEL HIDALGO ESTADO DE MEXICO MEXICO,"(19.4460311, -99.18673489999999)",19.4460311,-99.1867349,
30,16392,Mexico,DFSMP000131,HOSPITAL SANTA FE S.A DE C.V.,SAN LUIS POTOSI 143,ROMA NORTE,CUAUHTEMOC,ESTADO DE MEXICO,6721,55,{10844747},,VARRUBARRENA@HOSPITALSANTAFE.COM.MX,Private,Private,,,,,-1,-1,HOSPITAL SANTA FE S.A DE C.V. CUAUHTEMOC ESTADO DE MEXICO MEXICO,"(19.3565231, -99.2827716)",19.3565231,-99.2827716,
31,16603,Mexico,MSSMP000783,SANATORIO MATERNIDAD SANTISIMA TRINIDAD,5 DE MAYO 10,ANTONIO BARONA,CUERNAVACA,MORELOS,62320,777,{3162385},,,Private,Private,,Clinic,1 - Primary Care,,-1,-1,SANATORIO MATERNIDAD SANTISIMA TRINIDAD CUERNAVACA MORELOS MEXICO,"(18.9215904, -99.1735386)",18.9215904,-99.1735386,
32,16112,Mexico,PLSMP000014,SOCIEDAD DE BENEFICIENCIA ESPAÑOLA DE PUEBLA A.C.,19 NORTE 1001,JESUS GARCIA,PUEBLA,PUEBLA,72090,222,{2293700},{1955},EVELIAPALACIOS@PRODIGY.NET.MX,Private,Private,,,,,-1,-1,SOCIEDAD DE BENEFICIENCIA ESPAÑOLA DE PUEBLA A.C. PUEBLA PUEBLA MEXICO,"(19.0414398, -98.2062727)",19.0414398,-98.2062727,
33,16111,Mexico,QTSMP000080,CLINICA  DEL CARMEN,AVENIDA CANDILES 14,LOS OLIVOS,CORREGIDORA,QUERETARO,76190,442,{2283770},,HOSPITAL_DELCARMEN@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA  DEL CARMEN CORREGIDORA QUERETARO MEXICO,"(20.5531234, -100.4094743)",20.5531234,-100.4094743,
34,15909,Mexico,CHSMM000012,HOSPITAL MUNICIPAL,AVENIDA LOPEZ MATEOS 250 NORTE,MONUMENTAL,JUAREZ,CHIHUAHUA,32310,656,{2074550},,ADIAZDELEON@JUAREZ.GOB.MX,Gobierno Municipal,Public,,,,,-1,-1,HOSPITAL MUNICIPAL JUAREZ CHIHUAHUA MEXICO,"(31.7141662, -106.3927176)",31.7141662,-106.3927176,
35,16447,Mexico,DFSMP001654,CLINICA JOYA,VILLA CID LOTE 4 MANZANA 1A SECCION E,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,ESTADO DE MEXICO,9700,55,{54280270},,,Private,Private,,,,,-1,-1,CLINICA JOYA IZTAPALAPA ESTADO DE MEXICO MEXICO,"(19.358333, -99.09305599999999)",19.358333,-99.093056,
36,16252,Mexico,MNSMP001631,HOSPITAL GUADALUPANO,16 DE SEPTIEMBBE 88,CENTRO,LOS REYES,MICHOACAN DE OCAMPO,60300,354,{5422486},,HOSPITALGUADALUPANO@HOTMAIL.COM,Private,Private,,,,,-1,-1,HOSPITAL GUADALUPANO LOS REYES MICHOACAN DE OCAMPO MEXICO,"(19.5924759, -102.4733401)",19.5924759,-102.4733401,
37,15966,Mexico,PLSSA000081,HOSPITAL GENERAL DE ACATLAN,CARRETERA MEXICO-OAXACA SN,LA PALMA,ACATLAN,PUEBLA,74940,953,{5340059},,HOSPI_ACATLAN@YAHOO.COM.MX,SSA,Public,None,Hospital - General,,,-1,-1,HOSPITAL GENERAL DE ACATLAN ACATLAN PUEBLA MEXICO,"(18.1857629, -98.0564612)",18.1857629,-98.0564612,
38,16596,Mexico,MNSMP000902,SANATORIO EL MILAGRO,CUAHUTEMOC NORTE 29,CENTRO,CIUDAD HIDALGO,MICHOACAN DE OCAMPO,61100,786,{1540273},,EVLL26@HOTMAIL.COM,Private,Private,,Clinic,1 - Primary Care,,-1,-1,SANATORIO EL MILAGRO CIUDAD HIDALGO MICHOACAN DE OCAMPO MEXICO,"(19.6917213, -100.5535648)",19.6917213,-100.5535648,
39,16165,Mexico,TCSMP000051,CLINICA MEDICA DE JESUS,INDEPENDENCIA 108,1O. DE  MAYO,CENTRO,TABASCO,86190,993,{3159660},,,Private,Private,,Clinic,2 - General Hospital,,-1,-0.62,CLINICA MEDICA DE JESUS CENTRO TABASCO MEXICO,"(17.9746551, -92.9309246)",17.9746551,-92.9309246,
40,16453,Mexico,DFSMP003153,SANATORIO VISA,AVENIDA CHAPULTEPEC 430,ROMA NORTE,CUAUHTEMOC,ESTADO DE MEXICO,6700,55,{55140238},,SANATORIOVISA@HOTMAIL.COM,Private,Private,,,,,-1,-1,SANATORIO VISA CUAUHTEMOC ESTADO DE MEXICO MEXICO,"(19.4180219, -99.1599511)",19.4180219,-99.1599511,
41,16536,Mexico,DFSMP001181,CLINICA EL SAMARITANO,VICENTE GUERRERO 60,TEPALCATES,IZTAPALAPA,ESTADO DE MEXICO,9210,55,{57586523},,DOC_ARTUROHERNANDEZ@HOTMAIL.COM,Private,Private,,,,,-1,-1,CLINICA EL SAMARITANO IZTAPALAPA ESTADO DE MEXICO MEXICO,"(19.3889935, -99.0538086)",19.3889935,-99.0538086,
42,16440,Mexico,DFSMP004314,OPERADORA HMG S.A. DE C.V.,ARBOL DELFUEGO 152,ROSARIO,COYOACAN,ESTADO DE MEXICO,3395,55,{53380570},,CABELLOR1@PRODIGY.NET.MX,Private,Private,WWW.HMGHOSPITAL.COM.MX,,,,-1,-1,OPERADORA HMG S.A. DE C.V. COYOACAN ESTADO DE MEXICO MEXICO,"(19.3279731, -99.1436114)",19.3279731,-99.1436114,
43,16409,Mexico,JCSMP000190,CLINICA MACIAS S.A.,JOSE LUIS VERDIA 120,REFORMA,GUADALAJARA,JALISCO,44400,33,{36183868},,CLINICA_MACIAS@HOTMAIL.COM,Private,Private,HTTPS://SSJ.JALISCO.GOB.MX/CUIDA-TU-SALUD/HOSPITALES-A-TU-ALCANCE/5325,,,,-1,-1,CLINICA MACIAS S.A. GUADALAJARA JALISCO MEXICO,"(20.6702171, -103.3363088)",20.6702171,-103.3363088,
44,16184,Mexico,MSSMP000450,CENTRO MEDICO CONSTITUYENTES,AVENIDA CONSTITUYENTES 156,CENTRO,CUAUTLA,MORELOS,62740,735,{3541811},,,Private,Private,,,,,-1,-1,CENTRO MEDICO CONSTITUYENTES CUAUTLA MORELOS MEXICO,"(18.80778, -98.9525592)",18.80778,-98.9525592,
45,15979,Mexico,CHIMS000561,HOSPITAL GENERAL REGIONAL NO. 66,PROLONGACION CASI ESQUINA CON RAMON RAYON 951,LOTE BRAVO,JUAREZ,CHIHUAHUA,32599,526,{6497210},,JOSE.GARCIAC@IMSS.GOB.MX,IMSS,Public,None,Hospital - General,,,-1,-1.74,HOSPITAL GENERAL REGIONAL NO. 66 JUAREZ CHIHUAHUA MEXICO,"(31.6194571, -106.3842547)",31.6194571,-106.3842547,
46,15982,Mexico,BCSMP001703,HOSPITAL BUGAMBILIAS,AVENIDA EJERCITO NACIONAL 1245,TOMAS AQUINO,TIJUANA,BAJA CALIFORNIA,22370,661,{6822986},,HOSPITALBUGAMBILIAS@HOTMAIL.COM,Private,Private,,,,,-1,-1,HOSPITAL BUGAMBILIAS TIJUANA BAJA CALIFORNIA MEXICO,"(32.487998, -116.8834868)",32.487998,-116.8834868,
47,16225,Mexico,GTSMP001416,CLINICA DE CORTA ESTANCIA GARCIA SANDOVAL,AGUASCALIENTES 797,,MOROLEON,GUANAJUATO,38870,445,{4582244},,,Private,Private,,,,,-1,-1,CLINICA DE CORTA ESTANCIA GARCIA SANDOVAL MOROLEON GUANAJUATO MEXICO,"(20.122531, -101.1863504)",20.122531,-101.1863504,
48,16234,Mexico,OCSMP000095,MEDICA 2002 S.C.,EMILIANO ZAPATA 316,REFORMA,OAXACA DE JUAREZ,OAXACA,68050,951,{5131169},,,Private,Private,,,,,-1,-1,MEDICA 2002 S.C. OAXACA DE JUAREZ OAXACA MEXICO,"(17.078262, -96.71672439999999)",17.078262,-96.7167244,
49,16379,Mexico,VZSMP000424,SANATORIO Y MATERNIDAD DE LA LUZ,VICTIMAS DEL 25 DE JUNIO 365,CENTRO,VERACRUZ,VERACRUZ,91709,229,{9329115},,VICMEL@HOTMAIL.COM,Private,Private,,,,,-1,-1,SANATORIO Y MATERNIDAD DE LA LUZ VERACRUZ VERACRUZ MEXICO,"(19.1970969, -96.1326754)",19.1970969,-96.1326754,
50,16131,Mexico,PLSMP001250,CLINICA BELEN,5 PONIENTE 9132,,PUEBLA,PUEBLA,72000,222,{2464070},,,Private,Private,,,,,-1,-1,CLINICA BELEN PUEBLA PUEBLA MEXICO,"(19.0465219, -98.2067297)",19.0465219,-98.2067297,
51,15995,Mexico,HGSMP000362,CLINICA GUADALUPANA,GUILLERMO PRIETO SN,FRACCIONAMIENTO POPULAR,TLAXCOAPAN,HIDALGO,42950,773,{7370449},,,Private,Private,None,,,,-1,-1,CLINICA GUADALUPANA TLAXCOAPAN HIDALGO MEXICO,"(20.0866057, -99.2217208)",20.0866057,-99.2217208,
52,25995,Mexico,DFSMP000843,HOSPITAL ANGELES MEXICO,AGRARISMO 218,ESCANDON II SECCION,MIGUEL HIDALGO,CDMX,6040,55,{55169900},,DALMIRON@SALUDANGELES.COM.MX,Private,Private,HTTPS://HOSPITALESANGELES.COM/MEXICO/,Hospital - General,,,-1,-1,HOSPITAL ANGELES MEXICO MIGUEL HIDALGO CDMX MEXICO,"(19.3998155, -99.17262919999999)",19.3998155,-99.1726292,
53,16496,Mexico,DFSMP000341,SANATORIO MOISES LIRA,BOSTON 98,NOCHE BUENA,BENITO JUAREZ,ESTADO DE MEXICO,3720,55,{55985199},,,Private,Private,,,,,-1,-1,SANATORIO MOISES LIRA BENITO JUAREZ ESTADO DE MEXICO MEXICO,"(19.3801152, -99.18006779999999)",19.3801152,-99.1800678,
54,16634,Mexico,TSSMP000713,CENTRO MEDICO INTEGRAL DOCTOR RICARDO TIRADO,ZONA CENTRO,GUSTAVO ORDAZ,TAMAULIPAS,TAMAULIPAS,88400,891,{9385435},,TIRA_DOC@HOTMAIL.COM,Private,Private,,,,,-1,-1,CENTRO MEDICO INTEGRAL DOCTOR RICARDO TIRADO TAMAULIPAS TAMAULIPAS MEXICO,"(24.26694, -98.8362755)",24.26694,-98.8362755,
55,16507,Mexico,,UNIDAD MEDICA ESPECIALIZADA NUESTRA SEÑORA DE LOURDES,AVENIDA SANTA URSULA 5,PEDREGAL DE SANTA URSULA,COYOACAN,ESTADO DE MEXICO,4600,55,{56184494},,RIOS2000MX@YAHOO.COM.MX,Private,Private,,,,,-1,-1,UNIDAD MEDICA ESPECIALIZADA NUESTRA SEÑORA DE LOURDES COYOACAN ESTADO DE MEXICO MEXICO,"(19.3115586, -99.1621615)",19.3115586,-99.1621615,
56,16296,Mexico,TSSMP000486,CENTRO DE GINECOLOGIA Y OBSTETRICIA NUEVO LAREDO,GUTIERREZ 2120,BUENA VISTA,NUEVO LAREDO,TAMAULIPAS,88000,867,{7126797},,LUTREQUI@YAHOO.ES,Private,Private,,,,,-1,-1,CENTRO DE GINECOLOGIA Y OBSTETRICIA NUEVO LAREDO NUEVO LAREDO TAMAULIPAS MEXICO,"(27.4904574, -99.50211259999999)",27.4904574,-99.5021126,
57,16057,Mexico,DFIMS000510,HOSPITAL DE URGENCIAS TRAUMATOLOGICAS,TORRES ADALID ENTRE PITAGORAS Y PESTALOZZI 1305,NARVARTE,BENITO JUAREZ,CDMX,3020,55,"{55234280,56828686}",,,IMSS,Public,None,,,,-1,-4.27,HOSPITAL DE URGENCIAS TRAUMATOLOGICAS BENITO JUAREZ CDMX MEXICO,"(19.3810837, -99.16567289999999)",19.3810837,-99.1656729,
58,16587,Mexico,PLIMS000516,HOSPITAL GENERAL DE ZONA NUMERO  5,KM. 4.5 CARRETERA ATLIXCO - METEPEC SN,METEPEC CENTRO,ATLIXCO,PUEBLA,74360,244,{4440124},,,IMSS,Public,HTTP://WWW.IMSS.GOB.MX/DIRECTORIO/INSTALACION/HGZ-5-METEPEC,Hospital - General,,,-1,-3.19,HOSPITAL GENERAL DE ZONA NUMERO  5 ATLIXCO PUEBLA MEXICO,"(18.931874, -98.4711241)",18.931874,-98.4711241,
59,16204,Mexico,MNSMP001124,CLINICA DE ESPECIALIDADES,SEGUNDA DE BRAVO 32,CENTRO,ACUITZIO,MICHOACAN DE OCAMPO,58460,434,{3882333},,,Private,Private,,,,,-1,-1,CLINICA DE ESPECIALIDADES ACUITZIO MICHOACAN DE OCAMPO MEXICO,"(19.4802647, -101.3867337)",19.4802647,-101.3867337,
60,15933,Mexico,NLSSA001613,HOSPITAL DE GINECOOBSTETRICIA DE GARZA G,5 DE MAYO 301,PALO BLANCO,SAN PEDRO GARZA GARCIA,NUEVO LEON,66230,833,{3365125},,CGALINDO@SSNL.GOB.MX,SSA,Public,,Hospital - General,,,-1,-1,HOSPITAL DE GINECOOBSTETRICIA DE GARZA G SAN PEDRO GARZA GARCIA NUEVO LEON MEXICO,"(25.6471033, -100.3342744)",25.6471033,-100.3342744,
61,16178,Mexico,MNSMP001322,HOSPITAL GUADALUPANO,IBARRA 36,CENTRO,PATZCUARO,MICHOACAN DE OCAMPO,61600,434,{3422194},,,Private,Private,,,,,-1,-1,HOSPITAL GUADALUPANO PATZCUARO MICHOACAN DE OCAMPO MEXICO,"(19.5147713, -101.6125111)",19.5147713,-101.6125111,
62,16125,Mexico,NTSMP000132,CLINICA SAN JUAN DE DIOS,ABASOLO 49,CENTRO,IXTLAN DEL RIO,NAYARIT,63940,324,{2432889},,,Private,Private,,,,,-1,-1,CLINICA SAN JUAN DE DIOS IXTLAN DEL RIO NAYARIT MEXICO,"(21.0360227, -104.3673257)",21.0360227,-104.3673257,
63,16121,Mexico,PLSMP001163,CLINICA MATERNIDAD MEDICA POBLANA,5 NORTE 2205,EL REFUGIO,PUEBLA,PUEBLA,72000,222,{2421038},,,Private,Private,,,,,-1,-1,CLINICA MATERNIDAD MEDICA POBLANA PUEBLA PUEBLA MEXICO,"(19.0548936, -98.1964149)",19.0548936,-98.1964149,
64,15980,Mexico,BCIMS000245,HGS 6 TECATE,AVENIDA PORTES GIL Y AVENIDA JUAREZ 100,ZONA NORTE,TECATE,BAJA CALIFORNIA,21400,665,{6545802},,,IMSS,Public,,Hospital - General,,,-1,-1.05,HGS 6 TECATE TECATE BAJA CALIFORNIA MEXICO,"(32.5454193, -116.6314628)",32.5454193,-116.6314628,
